Gene symbol,Official name,tissue
IER5,immediate early response 5,glom
IER5L,immediate early response 5 like,tub
IFFO2,intermediate filament family orphan 2,tub
IFI16,interferon gamma inducible protein 16,tub
IFI27,interferon alpha inducible protein 27,tub
IFI35,interferon induced protein 35,tub
IFI44,interferon induced protein 44,tub
IFI44L,interferon induced protein 44 like,tub
IFI6,interferon alpha inducible protein 6,tub
IFIH1,interferon induced with helicase C domain 1,tub
IFIT2,interferon induced protein with tetratricopeptide repeats 2,tub
IFITM1,interferon induced transmembrane protein 1,tub
IFITM2,interferon induced transmembrane protein 2,tub
IFITM3,interferon induced transmembrane protein 3,tub
IFNAR2,interferon alpha and beta receptor subunit 2,tub
IFRD1,interferon related developmental regulator 1,tub
IFT122,intraflagellar transport 122,tub
IFT27,intraflagellar transport 27,glom
IFT46,intraflagellar transport 46,tub
IFT52,intraflagellar transport 52,tub
IFT57,intraflagellar transport 57,tub
IGDCC4,immunoglobulin superfamily DCC subclass member 4,tub
IGF1R,insulin like growth factor 1 receptor,glom
IGFBP4,insulin like growth factor binding protein 4,tub
IGIP,IgA inducing protein,glom
IGSF3,immunoglobulin superfamily member 3,tub
IGSF5,immunoglobulin superfamily member 5,tub
IGSF6,immunoglobulin superfamily member 6,tub
IGSF8,immunoglobulin superfamily member 8,glom
IHH,indian hedgehog,tub
IKBIP,IKBKB interacting protein,tub
IKBKE,inhibitor of nuclear factor kappa B kinase subunit epsilon,tub
IKZF2,IKAROS family zinc finger 2,tub
IL11RA,interleukin 11 receptor subunit alpha,glom
IL12RB1,interleukin 12 receptor subunit beta 1,tub
IL12RB2,interleukin 12 receptor subunit beta 2,tub
IL15RA,interleukin 15 receptor subunit alpha,tub
IL17RB,interleukin 17 receptor B,glom
IL18BP,interleukin 18 binding protein,tub
IL18R1,interleukin 18 receptor 1,tub
IL18RAP,interleukin 18 receptor accessory protein,tub
IL1R1,interleukin 1 receptor type 1,tub
IL1R2,interleukin 1 receptor type 2,tub
IL1RAP,interleukin 1 receptor accessory protein,glom
IL1RL2,interleukin 1 receptor like 2,tub
IL20RA,interleukin 20 receptor subunit alpha,tub
IL21R,interleukin 21 receptor,tub
IL27RA,interleukin 27 receptor subunit alpha,tub
IL2RB,interleukin 2 receptor subunit beta,glom
IL34,interleukin 34,tub
IL3RA,interleukin 3 receptor subunit alpha,tub
IL7,interleukin 7,tub
IL7R,interleukin 7 receptor,tub
ILDR2,immunoglobulin like domain containing receptor 2,glom
ILVBL,ilvB acetolactate synthase like,tub
IMMP1L,inner mitochondrial membrane peptidase subunit 1,tub
IMMP2L,inner mitochondrial membrane peptidase subunit 2,tub
IMPA1,inositol monophosphatase 1,tub
IMPA2,inositol monophosphatase 2,tub
IMPDH1,inosine monophosphate dehydrogenase 1,tub
INAVA,innate immunity activator,tub
INCENP,inner centromere protein,tub
INF2,inverted formin. FH2 and WH2 domain containing,glom
ING2,inhibitor of growth family member 2,tub
INIP,INTS3 and NABP interacting protein,tub
INKA1,inka box actin regulator 1,tub
INMT,indolethylamine N-methyltransferase,tub
INO80B,INO80 complex subunit B,tub
INO80C,INO80 complex subunit C,tub
INPP4B,inositol polyphosphate-4-phosphatase type II B,tub
INPP5A,inositol polyphosphate-5-phosphatase A,glom
INPP5J,inositol polyphosphate-5-phosphatase J,tub
INPPL1,inositol polyphosphate phosphatase like 1,tub
INSIG1,insulin induced gene 1,tub
INSR,insulin receptor,tub
INTS6,integrator complex subunit 6,tub
INTS7,integrator complex subunit 7,tub
INTS8,integrator complex subunit 8,tub
INVS,inversin,tub
IP6K2,inositol hexakisphosphate kinase 2,glom
IQCA1,IQ motif containing with AAA domain 1,tub
IQCE,IQ motif containing E,tub
IQCN,IQ motif containing N,glom
IQGAP1,IQ motif containing GTPase activating protein 1,tub
IQSEC1,IQ motif and Sec7 domain 1,glom
IQSEC2,IQ motif and Sec7 domain 2,tub
IRAK1,interleukin 1 receptor associated kinase 1,glom
IRF2,interferon regulatory factor 2,tub
IRF2BPL,interferon regulatory factor 2 binding protein like,glom
IRF6,interferon regulatory factor 6,tub
IRS1,insulin receptor substrate 1,tub
IRX6,iroquois homeobox 6,tub
ISCA1,iron-sulfur cluster assembly 1,tub
ISCA2,iron-sulfur cluster assembly 2,tub
ISCU,iron-sulfur cluster assembly enzyme,tub
ISG15,ISG15 ubiquitin-like modifier,tub
ISG20,interferon stimulated exonuclease gene 20,tub
ISG20L2,interferon stimulated exonuclease gene 20 like 2,tub
ISM2,isthmin 2,tub
ISOC1,isochorismatase domain containing 1,tub
ISOC2,isochorismatase domain containing 2,tub
ISYNA1,inositol-3-phosphate synthase 1,tub
ITGA1,integrin subunit alpha 1,tub
ITGA10,integrin subunit alpha 10,glom
ITGA11,integrin subunit alpha 11,tub
ITGA8,integrin subunit alpha 8,tub
ITGA9,integrin subunit alpha 9,tub
ITGAM,integrin subunit alpha M,tub
ITGAV,integrin subunit alpha V,tub
ITGAX,integrin subunit alpha X,tub
ITGB1,integrin subunit beta 1,tub
ITGB3,integrin subunit beta 3,tub
ITGB5,integrin subunit beta 5,glom
ITIH2,inter-alpha-trypsin inhibitor heavy chain 2,tub
ITIH3,inter-alpha-trypsin inhibitor heavy chain 3,tub
ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5,glom
ITLN1,intelectin 1,tub
ITPR3,inositol 1.4.5-trisphosphate receptor type 3,tub
ITPRIPL1,ITPRIP like 1,tub
ITPRIPL2,ITPRIP like 2,tub
ITSN1,intersectin 1,tub
IVD,isovaleryl-CoA dehydrogenase,tub
IVNS1ABP,influenza virus NS1A binding protein,glom
IYD,iodotyrosine deiodinase,tub
JAGN1,jagunal homolog 1,tub
JAK3,Janus kinase 3,tub
JAM2,junctional adhesion molecule 2,tub
JAML,junction adhesion molecule like,tub
JARID2,jumonji and AT-rich interaction domain containing 2,tub
JHY,junctional cadherin complex regulator,tub
JMJD1C,jumonji domain containing 1C,tub
JMJD6,jumonji domain containing 6. arginine demethylase and lysine hydroxylase,tub
JPH1,junctophilin 1,glom
JPH2,junctophilin 2,tub
JPH4,junctophilin 4,tub
JPT2,Jupiter microtubule associated homolog 2,tub
JRKL,JRK like,tub
JSRP1,junctional sarcoplasmic reticulum protein 1,tub
JTB,jumping translocation breakpoint,tub
KANK1,KN motif and ankyrin repeat domains 1,glom
KANK2,KN motif and ankyrin repeat domains 2,tub
KAZALD1,Kazal type serine peptidase inhibitor domain 1,tub
KBTBD12,kelch repeat and BTB domain containing 12,tub
KBTBD2,kelch repeat and BTB domain containing 2,tub
KCMF1,potassium channel modulatory factor 1,tub
KCNA5,potassium voltage-gated channel subfamily A member 5,glom
KCND1,potassium voltage-gated channel subfamily D member 1,tub
KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1,tub
KCNE1B,potassium voltage-gated channel subfamily E regulatory subunit 1B,tub
KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,tub
KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,tub
KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4,tub
KCNF1,potassium voltage-gated channel modifier subfamily F member 1,tub
KCNH3,potassium voltage-gated channel subfamily H member 3,glom
KCNIP3,potassium voltage-gated channel interacting protein 3,tub
KCNJ12,potassium voltage-gated channel subfamily J member 12,tub
KCNJ13,potassium voltage-gated channel subfamily J member 13,tub
KCNJ16,potassium voltage-gated channel subfamily J member 16,tub
KCNJ5,potassium voltage-gated channel subfamily J member 5,tub
KCNK1,potassium two pore domain channel subfamily K member 1,tub
KCNK10,potassium two pore domain channel subfamily K member 10,tub
KCNK15,potassium two pore domain channel subfamily K member 15,tub
KCNK5,potassium two pore domain channel subfamily K member 5,tub
KCNK6,potassium two pore domain channel subfamily K member 6,tub
KCNMA1,potassium calcium-activated channel subfamily M alpha 1,tub
KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1,tub
KCNN2,potassium calcium-activated channel subfamily N member 2,tub
KCNN4,potassium calcium-activated channel subfamily N member 4,tub
KCNQ3,potassium voltage-gated channel subfamily Q member 3,tub
KCNRG,potassium channel regulator,tub
KCNT2,potassium sodium-activated channel subfamily T member 2,tub
KCP,kielin cysteine rich BMP regulator,tub
KCTD11,potassium channel tetramerization domain containing 11,tub
KCTD16,potassium channel tetramerization domain containing 16,tub
KCTD17,potassium channel tetramerization domain containing 17,tub
KCTD2,potassium channel tetramerization domain containing 2,glom
KCTD4,potassium channel tetramerization domain containing 4,tub
KDELC1,KDEL motif containing 1,tub
KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,glom
KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,tub
KDM5A,lysine demethylase 5A,tub
KDM5B,lysine demethylase 5B,tub
KHDC1,KH domain containing 1,tub
KHNYN,KH and NYN domain containing,tub
KIAA0100,KIAA0100,glom
KIAA0753,KIAA0753,tub
KIAA0895,KIAA0895,tub
KIAA1191,KIAA1191,tub
KIAA1211,KIAA1211,tub
KIAA1211L,KIAA1211 like,glom
KIAA1324,KIAA1324,tub
KIAA1551,KIAA1551,tub
KIAA1614,KIAA1614,tub
KIAA1841,KIAA1841,tub
KIAA1958,KIAA1958,tub
KIAA2026,KIAA2026,glom
KIF11,kinesin family member 11,tub
KIF12,kinesin family member 12,tub
KIF13A,kinesin family member 13A,glom
KIF15,kinesin family member 15,tub
KIF16B,kinesin family member 16B,tub
KIF1B,kinesin family member 1B,tub
KIF20A,kinesin family member 20A,tub
KIF20B,kinesin family member 20B,tub
KIF21B,kinesin family member 21B,tub
KIF24,kinesin family member 24,tub
KIF2A,kinesin family member 2A,tub
KIF2C,kinesin family member 2C,tub
KIF3C,kinesin family member 3C,tub
KIF5C,kinesin family member 5C,tub
KIRREL2,kirre like nephrin family adhesion molecule 2,glom
KL,klotho,tub
KLC1,kinesin light chain 1,glom
KLF10,Kruppel like factor 10,tub
KLF13,Kruppel like factor 13,tub
KLF15,Kruppel like factor 15,tub
KLF2,Kruppel like factor 2,glom
KLF5,Kruppel like factor 5,tub
KLF7,Kruppel like factor 7,glom
KLHDC10,kelch domain containing 10,tub
KLHDC7B,kelch domain containing 7B,tub
KLHDC9,kelch domain containing 9,tub
KLHL14,kelch like family member 14,tub
KLHL15,kelch like family member 15,tub
KLHL29,kelch like family member 29,glom
KLHL3,kelch like family member 3,tub
KLHL42,kelch like family member 42,glom
KLHL6,kelch like family member 6,tub
KLK1,kallikrein 1,tub
KLRB1,killer cell lectin like receptor B1,tub
KLRD1,killer cell lectin like receptor D1,tub
KLRG1,killer cell lectin like receptor G1,tub
KLRG2,killer cell lectin like receptor G2,tub
KMT2A,lysine methyltransferase 2A,glom
KMT5C,lysine methyltransferase 5C,glom
KNG1,kininogen 1,tub
KNOP1,lysine rich nucleolar protein 1,tub
KRI1,KRI1 homolog,tub
KRT10,keratin 10,tub
KRT80,keratin 80,tub
KYAT1,kynurenine aminotransferase 1,glom
KYAT3,kynurenine aminotransferase 3,tub
KYNU,kynureninase,tub
L2HGDH,L-2-hydroxyglutarate dehydrogenase,tub
L3HYPDH,trans-L-3-hydroxyproline dehydratase,tub
L3MBTL3,L3MBTL3. histone methyl-lysine binding protein,glom
LACTB2,lactamase beta 2,glom
LAIR1,leukocyte associated immunoglobulin like receptor 1,glom
LAMA1,laminin subunit alpha 1,tub
LAMA2,laminin subunit alpha 2,tub
LAMA3,laminin subunit alpha 3,tub
LAMP2,lysosomal associated membrane protein 2,glom
LAMP3,lysosomal associated membrane protein 3,tub
LAMP5,lysosomal associated membrane protein family member 5,tub
LAMTOR5,late endosomal/lysosomal adaptor. MAPK and MTOR activator 5,tub
LANCL2,LanC like 2,tub
LAP3,leucine aminopeptidase 3,glom
LARGE1,LARGE xylosyl- and glucuronyltransferase 1,glom
LARP1B,La ribonucleoprotein domain family member 1B,tub
LARP4,La ribonucleoprotein domain family member 4,tub
LARP6,La ribonucleoprotein domain family member 6,tub
LAX1,lymphocyte transmembrane adaptor 1,tub
LAYN,layilin,tub
LCAT,lecithin-cholesterol acyltransferase,glom
LCN2,lipocalin 2,tub
LCNL1,lipocalin like 1,glom
LCP2,lymphocyte cytosolic protein 2,tub
LDAH,lipid droplet associated hydrolase,glom
LDHD,lactate dehydrogenase D,tub
LDLRAD3,low density lipoprotein receptor class A domain containing 3,tub
LDLRAD4,low density lipoprotein receptor class A domain containing 4,tub
LEAP2,liver enriched antimicrobial peptide 2,tub
LETMD1,LETM1 domain containing 1,tub
LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,tub
LGALS1,galectin 1,tub
LGALS3BP,galectin 3 binding protein,tub
LGI2,leucine rich repeat LGI family member 2,tub
LGSN,lengsin. lens protein with glutamine synthetase domain,tub
LHFPL3,LHFPL tetraspan subfamily member 3,tub
LHFPL6,LHFPL tetraspan subfamily member 6,tub
LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,tub
LHX4,LIM homeobox 4,tub
LHX6,LIM homeobox 6,tub
LIAS,lipoic acid synthetase,tub
LIF,LIF. interleukin 6 family cytokine,tub
LIG1,DNA ligase 1,tub
LILRB4,leukocyte immunoglobulin like receptor B4,glom
LIMD2,LIM domain containing 2,tub
LIMK1,LIM domain kinase 1,tub
LIMK2,LIM domain kinase 2,tub
LIN52,lin-52 DREAM MuvB core complex component,tub
LIN7A,lin-7 homolog A. crumbs cell polarity complex component,tub
LIN7B,lin-7 homolog B. crumbs cell polarity complex component,tub
LINGO1,leucine rich repeat and Ig domain containing 1,glom
LIX1,limb and CNS expressed 1,tub
LIX1L,limb and CNS expressed 1 like,tub
LMBRD1,LMBR1 domain containing 1,tub
LMNB1,lamin B1,tub
LMNTD2,lamin tail domain containing 2,tub
LMOD1,leiomodin 1,tub
LMTK2,lemur tyrosine kinase 2,tub
LMX1B,LIM homeobox transcription factor 1 beta,glom
LNP1,leukemia NUP98 fusion partner 1,tub
LNPEP,leucyl and cystinyl aminopeptidase,tub
LNX2,ligand of numb-protein X 2,tub
LONRF2,LON peptidase N-terminal domain and ring finger 2,tub
LOX,lysyl oxidase,glom
LOXL1,lysyl oxidase like 1,tub
LOXL3,lysyl oxidase like 3,tub
LOXL4,lysyl oxidase like 4,tub
LPAR2,lysophosphatidic acid receptor 2,tub
LPAR5,lysophosphatidic acid receptor 5,tub
LPCAT1,lysophosphatidylcholine acyltransferase 1,tub
LPCAT4,lysophosphatidylcholine acyltransferase 4,tub
LPGAT1,lysophosphatidylglycerol acyltransferase 1,tub
LPIN1,lipin 1,glom
LPP,LIM domain containing preferred translocation partner in lipoma,tub
LPXN,leupaxin,glom
LRAT,lecithin retinol acyltransferase,tub
LRFN4,leucine rich repeat and fibronectin type III domain containing 4,glom
LRFN5,leucine rich repeat and fibronectin type III domain containing 5,tub
LRG1,leucine rich alpha-2-glycoprotein 1,tub
LRP1,LDL receptor related protein 1,tub
LRP11,LDL receptor related protein 11,glom
LRP12,LDL receptor related protein 12,tub
LRP2BP,LRP2 binding protein,glom
LRRC1,leucine rich repeat containing 1,tub
LRRC19,leucine rich repeat containing 19,tub
LRRC20,leucine rich repeat containing 20,tub
LRRC25,leucine rich repeat containing 25,tub
LRRC28,leucine rich repeat containing 28,tub
LRRC29,leucine rich repeat containing 29,tub
LRRC4,leucine rich repeat containing 4,glom
LRRC43,leucine rich repeat containing 43,tub
LRRC49,leucine rich repeat containing 49,tub
LRRC57,leucine rich repeat containing 57,tub
LRRC58,leucine rich repeat containing 58,tub
LRRC73,leucine rich repeat containing 73,tub
LRRC75A,leucine rich repeat containing 75A,tub
LRRC8C,leucine rich repeat containing 8 VRAC subunit C,tub
LRRFIP1,LRR binding FLII interacting protein 1,glom
LRRK1,leucine rich repeat kinase 1,tub
LRRN1,leucine rich repeat neuronal 1,tub
LRRN2,leucine rich repeat neuronal 2,tub
LRRN3,leucine rich repeat neuronal 3,tub
LRRTM2,leucine rich repeat transmembrane neuronal 2,glom
LRSAM1,leucine rich repeat and sterile alpha motif containing 1,tub
LRTOMT,leucine rich transmembrane and O-methyltransferase domain containing,tub
LSM14B,LSM family member 14B,tub
LSM3,LSM3 homolog. U6 small nuclear RNA and mRNA degradation associated,tub
LSM5,LSM5 homolog. U6 small nuclear RNA and mRNA degradation associated,tub
LSMEM1,leucine rich single-pass membrane protein 1,tub
LST1,leukocyte specific transcript 1,tub
LTA4H,leukotriene A4 hydrolase,glom
LTB4R,leukotriene B4 receptor,tub
LTBP1,latent transforming growth factor beta binding protein 1,tub
LTBP2,latent transforming growth factor beta binding protein 2,tub
LTBP4,latent transforming growth factor beta binding protein 4,tub
LTK,leukocyte receptor tyrosine kinase,glom
LUC7L2,LUC7 like 2. pre-mRNA splicing factor,glom
LUC7L3,LUC7 like 3 pre-mRNA splicing factor,glom
LURAP1L,leucine rich adaptor protein 1 like,tub
LUZP2,leucine zipper protein 2,tub
LY6K,lymphocyte antigen 6 family member K,tub
LY96,lymphocyte antigen 96,tub
LYL1,LYL1. basic helix-loop-helix family member,tub
LYN,LYN proto-oncogene. Src family tyrosine kinase,tub
LYPD1,LY6/PLAUR domain containing 1,tub
LYPLA1,lysophospholipase I,tub
LYPLAL1,lysophospholipase like 1,tub
LYRM1,LYR motif containing 1,tub
LYRM7,LYR motif containing 7,tub
LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,tub
LYZ,lysozyme,tub
LZTS1,leucine zipper tumor suppressor 1,tub
LZTS3,leucine zipper tumor suppressor family member 3,tub
M6PR,mannose-6-phosphate receptor. cation dependent,glom
MACF1,microtubule-actin crosslinking factor 1,tub
MACO1,macoilin 1,tub
MACROD1,MACRO domain containing 1,tub
MAD1L1,mitotic arrest deficient 1 like 1,tub
MAD2L1,mitotic arrest deficient 2 like 1,tub
MAFB,MAF bZIP transcription factor B,glom
MAGED1,MAGE family member D1,tub
MAGI1,membrane associated guanylate kinase. WW and PDZ domain containing 1,tub
MAIP1,matrix AAA peptidase interacting protein 1,tub
MAJIN,membrane anchored junction protein,tub
MAK,male germ cell associated kinase,glom
MAL2,mal. T cell differentiation protein 2 (gene/pseudogene),glom
MALSU1,mitochondrial assembly of ribosomal large subunit 1,tub
MAMDC2,MAM domain containing 2,tub
MAML3,mastermind like transcriptional coactivator 3,tub
MAN1B1,mannosidase alpha class 1B member 1,tub
MAN2A2,mannosidase alpha class 2A member 2,glom
MANSC1,MANSC domain containing 1,tub
MAOA,monoamine oxidase A,tub
MAP10,microtubule associated protein 10,tub
MAP1B,microtubule associated protein 1B,tub
MAP1LC3B,microtubule associated protein 1 light chain 3 beta,tub
MAP1LC3C,microtubule associated protein 1 light chain 3 gamma,tub
MAP2,microtubule associated protein 2,tub
MAP2K1,mitogen-activated protein kinase kinase 1,tub
MAP2K3,mitogen-activated protein kinase kinase 3,tub
MAP3K13,mitogen-activated protein kinase kinase kinase 13,tub
MAP3K14,mitogen-activated protein kinase kinase kinase 14,tub
MAP3K20,mitogen-activated protein kinase kinase kinase 20,glom
MAP3K3,mitogen-activated protein kinase kinase kinase 3,glom
MAP3K7,mitogen-activated protein kinase kinase kinase 7,tub
MAP3K7CL,MAP3K7 C-terminal like,tub
MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,tub
MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,tub
MAP6,microtubule associated protein 6,glom
MAP7D3,MAP7 domain containing 3,tub
MAP9,microtubule associated protein 9,tub
MAPK1IP1L,mitogen-activated protein kinase 1 interacting protein 1 like,tub
MAPK6,mitogen-activated protein kinase 6,tub
MAPK8,mitogen-activated protein kinase 8,tub
MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3,glom
MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2,tub
MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3,tub
MAPRE3,microtubule associated protein RP/EB family member 3,tub
MAPT,microtubule associated protein tau,tub
MARCHF10,membrane associated ring-CH-type finger 10,tub
MARCHF6,membrane associated ring-CH-type finger 6,tub
MARCHF9,membrane associated ring-CH-type finger 9,tub
MARCKSL1,MARCKS like 1,tub
MARK4,microtubule affinity regulating kinase 4,glom
MARVELD1,MARVEL domain containing 1,tub
MARVELD3,MARVEL domain containing 3,tub
MAT2A,methionine adenosyltransferase 2A,tub
MATK,megakaryocyte-associated tyrosine kinase,tub
MATN2,matrilin 2,tub
MATN3,matrilin 3,tub
MB21D2,Mab-21 domain containing 2,tub
MBD2,methyl-CpG binding domain protein 2,glom
MBD6,methyl-CpG binding domain protein 6,glom
MBIP,MAP3K12 binding inhibitory protein 1,tub
MBOAT7,membrane bound O-acyltransferase domain containing 7,tub
MCAM,melanoma cell adhesion molecule,tub
MCCC1,methylcrotonoyl-CoA carboxylase 1,tub
MCEE,methylmalonyl-CoA epimerase,tub
MCF2,MCF.2 cell line derived transforming sequence,tub
MCF2L2,MCF.2 cell line derived transforming sequence-like 2,tub
MCM2,minichromosome maintenance complex component 2,tub
MCM3,minichromosome maintenance complex component 3,tub
MCM5,minichromosome maintenance complex component 5,tub
MCM6,minichromosome maintenance complex component 6,glom
MCM7,minichromosome maintenance complex component 7,tub
MCRIP2,MAPK regulated corepressor interacting protein 2,tub
MCRS1,microspherule protein 1,tub
MCTP1,multiple C2 and transmembrane domain containing 1,tub
MCTP2,multiple C2 and transmembrane domain containing 2,tub
MCUB,mitochondrial calcium uniporter dominant negative beta subunit,tub
MCUR1,mitochondrial calcium uniporter regulator 1,tub
MDFIC,MyoD family inhibitor domain containing,glom
ME1,malic enzyme 1,tub
MEAK7,MTOR associated protein. eak-7 homolog,tub
MECP2,methyl-CpG binding protein 2,glom
MED13,mediator complex subunit 13,tub
MED13L,mediator complex subunit 13 like,glom
MED14,mediator complex subunit 14,tub
MED14OS,MED14 opposite strand,tub
MED15,mediator complex subunit 15,tub
MED21,mediator complex subunit 21,tub
MED22,mediator complex subunit 22,tub
MED30,mediator complex subunit 30,tub
MEF2C,myocyte enhancer factor 2C,tub
MEGF9,multiple EGF like domains 9,glom
MEI1,meiotic double-stranded break formation protein 1,tub
MEIS1,Meis homeobox 1,tub
MEIS2,Meis homeobox 2,tub
MEIS3,Meis homeobox 3,tub
MEST,mesoderm specific transcript,glom
METRNL,meteorin like. glial cell differentiation regulator,tub
METTL1,methyltransferase like 1,tub
METTL21A,methyltransferase like 21A,glom
METTL23,methyltransferase like 23,tub
METTL7A,methyltransferase like 7A,tub
MFAP2,microfibril associated protein 2,tub
MFF,mitochondrial fission factor,tub
MFGE8,milk fat globule-EGF factor 8 protein,tub
MFNG,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,tub
MFSD12,major facilitator superfamily domain containing 12,tub
MFSD3,major facilitator superfamily domain containing 3,tub
MFSD4A,major facilitator superfamily domain containing 4A,tub
MFSD6,major facilitator superfamily domain containing 6,glom
MGA,MGA. MAX dimerization protein,tub
MGAT4A,alpha-1.3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A,tub
MGAT5,alpha-1.6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase,glom
MGP,matrix Gla protein,tub
MGST3,microsomal glutathione S-transferase 3,tub
MICAL2,microtubule associated monooxygenase. calponin and LIM domain containing 2,tub
MICALL2,MICAL like 2,tub
MICU1,mitochondrial calcium uptake 1,tub
MICU3,mitochondrial calcium uptake family member 3,tub
MID1,midline 1,tub
MINDY1,MINDY lysine 48 deubiquitinase 1,glom
MIOX,myo-inositol oxygenase,tub
MIS12,MIS12. kinetochore complex component,tub
MIS18BP1,MIS18 binding protein 1,tub
MISP3,MISP family member 3,tub
MKRN2OS,MKRN2 opposite strand,tub
MLF2,myeloid leukemia factor 2,tub
MLKL,mixed lineage kinase domain like pseudokinase,tub
MLLT1,MLLT1. super elongation complex subunit,glom
MLLT11,MLLT11. transcription factor 7 cofactor,tub
MLLT3,MLLT3. super elongation complex subunit,tub
MLX,MLX. MAX dimerization protein,tub
MLXIP,MLX interacting protein,tub
MLXIPL,MLX interacting protein like,tub
MMADHC,metabolism of cobalamin associated D,tub
MMD,monocyte to macrophage differentiation associated,glom
MMEL1,membrane metalloendopeptidase like 1,tub
MMP11,matrix metallopeptidase 11,tub
MMP24,matrix metallopeptidase 24,glom
MMP24OS,MMP24 opposite strand,tub
MMP25,matrix metallopeptidase 25,glom
MMP28,matrix metallopeptidase 28,glom
MMP9,matrix metallopeptidase 9,tub
MMRN1,multimerin 1,tub
MMS19,MMS19 homolog. cytosolic iron-sulfur assembly component,tub
MMS22L,MMS22 like. DNA repair protein,tub
MNDA,myeloid cell nuclear differentiation antigen,tub
MOB1A,MOB kinase activator 1A,glom
MOCS2,molybdenum cofactor synthesis 2,tub
MORN2,MORN repeat containing 2,tub
MORN3,MORN repeat containing 3,tub
MOSMO,modulator of smoothened,glom
MPC1,mitochondrial pyruvate carrier 1,tub
MPC2,mitochondrial pyruvate carrier 2,tub
MPDU1,mannose-P-dolichol utilization defect 1,tub
MPHOSPH8,M-phase phosphoprotein 8,glom
MPLKIP,M-phase specific PLK1 interacting protein,tub
MPP3,membrane palmitoylated protein 3,glom
MPP5,membrane palmitoylated protein 5,glom
MPPED2,metallophosphoesterase domain containing 2,tub
MPRIP,myosin phosphatase Rho interacting protein,glom
MPV17,mitochondrial inner membrane protein MPV17,tub
MPV17L,MPV17 mitochondrial inner membrane protein like,tub
MRC2,mannose receptor C type 2,tub
MRE11,MRE11 homolog. double strand break repair nuclease,tub
MRGBP,MRG domain binding protein,tub
MRGPRF,MAS related GPR family member F,glom
MRLN,myoregulin,tub
MRM2,mitochondrial rRNA methyltransferase 2,tub
MRO,maestro,tub
MROH1,maestro heat like repeat family member 1,tub
MROH7,maestro heat like repeat family member 7,tub
MROH8,maestro heat like repeat family member 8,tub
MRPL10,mitochondrial ribosomal protein L10,tub
MRPL15,mitochondrial ribosomal protein L15,tub
MRPL16,mitochondrial ribosomal protein L16,tub
MRPL19,mitochondrial ribosomal protein L19,tub
MRPL21,mitochondrial ribosomal protein L21,tub
MRPL22,mitochondrial ribosomal protein L22,tub
MRPL30,mitochondrial ribosomal protein L30,glom
MRPL32,mitochondrial ribosomal protein L32,tub
MRPL34,mitochondrial ribosomal protein L34,tub
MRPL35,mitochondrial ribosomal protein L35,tub
MRPL37,mitochondrial ribosomal protein L37,tub
MRPL38,mitochondrial ribosomal protein L38,tub
MRPL40,mitochondrial ribosomal protein L40,tub
MRPL41,mitochondrial ribosomal protein L41,tub
MRPL42,mitochondrial ribosomal protein L42,tub
MRPL43,mitochondrial ribosomal protein L43,tub
MRPL44,mitochondrial ribosomal protein L44,glom
MRPL48,mitochondrial ribosomal protein L48,tub
MRPL49,mitochondrial ribosomal protein L49,tub
MRPL54,mitochondrial ribosomal protein L54,tub
MRPL57,mitochondrial ribosomal protein L57,tub
MRPS15,mitochondrial ribosomal protein S15,tub
MRPS16,mitochondrial ribosomal protein S16,tub
MRPS17,mitochondrial ribosomal protein S17,tub
MRPS18A,mitochondrial ribosomal protein S18A,tub
MRPS18C,mitochondrial ribosomal protein S18C,tub
MRPS22,mitochondrial ribosomal protein S22,tub
MRPS24,mitochondrial ribosomal protein S24,tub
MRPS28,mitochondrial ribosomal protein S28,tub
MRPS30,mitochondrial ribosomal protein S30,tub
MRPS33,mitochondrial ribosomal protein S33,tub
MRPS35,mitochondrial ribosomal protein S35,tub
MRPS36,mitochondrial ribosomal protein S36,tub
MRPS6,mitochondrial ribosomal protein S6,tub
MRVI1,murine retrovirus integration site 1 homolog,tub
MSH2,mutS homolog 2,tub
MSH3,mutS homolog 3,tub
MSL1,male specific lethal 1 homolog,glom
MSL3,MSL complex subunit 3,tub
MSLN,mesothelin,tub
MSMO1,methylsterol monooxygenase 1,tub
MSN,moesin,glom
MSRA,methionine sulfoxide reductase A,tub
MST1,macrophage stimulating 1,tub
